nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1221_2,1,2013-07-18,09:30,1,321210,7459012,8,veg,MATA,69,1,           -10.00000
1221_2,1,2013-07-18,10:45,1,321226,7459119,338,pasto,N_MATA,69,1,           -28.28430
1221_2,1,2013-07-18,13:55,1,321124,7459015,334,pasto,N_MATA,69,1,           -10.00000
1221_2,1,2013-07-18,14:40,1,321187,7459155,8,veg,MATA,69,1,            10.00000
1221_2,1,2013-07-18,14:55,1,321163,7459038,8,veg,MATA,69,1,            20.00000
1221_2,1,2013-07-18,15:10,1,321165,7459036,8,veg,MATA,69,1,            22.36070
1221_2,1,2013-07-19,09:00,1,321608,7458826,339,pasto,N_MATA,69,1,           -80.62260
1221_2,1,2013-07-19,09:30,1,322013,7458724,71,pasto,N_MATA,69,1,           -60.00000
1221_2,1,2013-07-20,08:45,1,322215,7457680,115,pasto,N_MATA,69,1,           -28.28430
1221_2,1,2013-07-20,09:45,1,321593,7459020,64,pasto,N_MATA,69,1,           -31.62280
1221_2,1,2013-07-20,10:30,1,321572,7458978,8,veg,MATA,69,1,            10.00000
1221_2,1,2013-07-20,14:05,1,321374,7458947,339,pasto,N_MATA,69,1,           -89.44270
1221_2,1,2013-07-20,14:35,1,321499,7458983,339,pasto,N_MATA,69,1,           -14.14210
1221_2,1,2013-07-20,14:50,1,321512,7458977,339,pasto,N_MATA,69,1,           -20.00000
1221_2,1,2013-07-20,15:05,1,321580,7458933,339,pasto,N_MATA,69,1,           -50.00000
1221_2,1,2013-07-20,16:05,1,321778,7458998,8,veg,MATA,69,1,            14.14210
1221_2,1,2013-07-20,16:20,1,321837,7459005,63,plant,N_MATA,69,1,           -14.14210
1221_2,1,2013-07-20,16:35,1,321748,7458970,63,plant,N_MATA,69,1,           -10.00000
1221_2,1,2013-08-08,15:01,1,321394,7459065,8,veg,MATA,69,1,            14.14210
1221_2,1,2013-08-09,07:44,1,321532,7458942,339,pasto,N_MATA,69,1,           -40.00000
1221_2,1,2013-08-09,08:23,1,321552,7458985,8,veg,MATA,69,1,            10.00000
1221_2,1,2013-08-09,10:08,1,321392,7459322,338,pasto,N_MATA,69,1,           -10.00000
1221_2,1,2013-08-09,10:19,1,321388,7459315,338,pasto,N_MATA,69,1,           -10.00000
1221_2,1,2013-08-10,13:00,1,321437,7459236,64,pasto,N_MATA,69,1,           -22.36070
1221_2,1,2013-09-08,16:32,1,321063,7459585,338,pasto,N_MATA,69,1,          -392.93800
1221_2,1,2013-09-08,16:47,1,321178,7458981,334,pasto,N_MATA,69,1,           -36.05550
1221_2,1,2013-09-08,17:02,1,321180,7458969,334,pasto,N_MATA,69,1,           -28.28430
1221_2,1,2013-09-08,17:17,1,321160,7458970,334,pasto,N_MATA,69,1,           -42.42640
1221_2,1,2013-09-08,17:32,1,321142,7459000,334,pasto,N_MATA,69,1,           -30.00000
1221_2,1,2013-09-09,07:10,1,321153,7458968,334,pasto,N_MATA,69,1,           -50.00000
1221_2,1,2013-09-09,08:30,1,321777,7459002,8,veg,MATA,69,1,            14.14210
1221_2,1,2013-09-09,09:35,1,321831,7459399,72,pasto,N_MATA,69,1,           -14.14210
1351,2,2014-04-05,07:28,2,320276,7460570,32,res,N_MATA,98,3,           -10.00000
1351,2,2014-04-05,07:58,2,320266,7460632,32,res,N_MATA,98,3,           -36.05550
1351,2,2014-04-05,08:08,2,320281,7460679,32,res,N_MATA,98,3,           -10.00000
1351,2,2014-04-05,09:23,2,320202,7460714,160,veg,MATA,98,3,            36.05550
1351,2,2014-04-05,09:33,2,320249,7460660,32,res,N_MATA,98,3,           -10.00000
1351,2,2014-04-05,09:43,2,320312,7460726,160,veg,MATA,98,3,            41.23110
1351,2,2014-04-05,10:25,2,320348,7460694,160,veg,MATA,98,3,            30.00000
1351,2,2014-04-05,10:35,2,320319,7460733,160,veg,MATA,98,3,            44.72140
1351,2,2014-04-05,10:45,2,320294,7460730,160,veg,MATA,98,3,            40.00000
1351,2,2014-04-05,10:55,2,320288,7460692,160,veg,MATA,98,3,            10.00000
1351,2,2014-04-05,12:53,2,320212,7460604,32,res,N_MATA,98,3,           -44.72140
1351,2,2014-04-05,13:03,2,320235,7460554,164,pasto,N_MATA,98,3,           -40.00000
1351,2,2014-04-05,13:13,2,320188,7460454,164,pasto,N_MATA,98,3,           -31.62280
1351,2,2014-04-05,14:23,2,320312,7460541,160,veg,MATA,98,3,            22.36070
1351,2,2014-04-05,14:33,2,320357,7460577,32,res,N_MATA,98,3,            10.00000
